jaw;larynx;lip;F1;F2;ScaledF1;ScaledF2;Note;
2.0;90.0;S;369;1285;461,9333333;1608,62963;N/a;
10.0;105.0;R;371;1016;464,437037;1271,881481;N/a;
7.0;90.0;S;374;1077;468,1925926;1348,244444;N/a;
9.0;100.0;R;376;990;470,6962963;1239,333333;N/a;
11.0;110.0;R;378;1073;473,2;1343,237037;N/a;
7.0;85.0;S;378;1057;473,2;1323,207407;N/a;
8.0;90.0;R;378;957;473,2;1198,022222;N/a;
8.0;100.0;S;379;1113;474,4518519;1393,311111;N/a;
9.0;110.0;S;379;1160;474,4518519;1452,148148;N/a;
8.0;85.0;R;381;925;476,9555556;1157,962963;Fit for hoo;
10.0;110.0;S;383;1190;479,4592593;1489,703704;N/a;
12.0;110.0;R;384;1097;480,7111111;1373,281481;N/a;
10.0;100.0;R;386;1021;483,2148148;1278,140741;N/a;
13.0;110.0;R;388;1113;485,7185185;1393,311111;N/a;
11.0;105.0;R;391;1076;489,4740741;1346,992593;N/a;
9.0;105.0;S;393;1159;491,9777778;1450,896296;N/a;
9.0;95.0;R;394;1000;493,2296296;1251,851852;N/a;
10.0;105.0;S;396;1192;495,7333333;1492,207407;N/a;
12.0;105.0;R;398;1099;498,237037;1375,785185;N/a;
8.0;95.0;S;398;1120;498,237037;1402,074074;N/a;
13.0;105.0;R;401;1116;501,9925926;1397,066667;N/a;
10.0;95.0;R;403;1029;504,4962963;1288,155556;N/a;
2.0;85.0;R;404;1442;505,7481481;1805,17037;N/a;
2.0;85.0;S;404;1442;505,7481481;1805,17037;N/a;
11.0;100.0;R;406;1083;508,2518519;1355,755556;N/a;
11.0;110.0;S;406;1248;508,2518519;1562,311111;N/a;
14.0;110.0;R;406;1118;508,2518519;1399,57037;N/a;
9.0;100.0;S;408;1163;510,7555556;1455,903704;N/a;
9.0;90.0;R;408;1005;510,7555556;1258,111111;N/a;
12.0;110.0;S;409;1272;512,0074074;1592,355556;N/a;
13.0;110.0;S;411;1292;514,5111111;1617,392593;N/a;
8.0;90.0;S;411;1122;514,5111111;1404,577778;N/a;
10.0;100.0;S;413;1197;517,0148148;1498,466667;N/a;
12.0;100.0;R;413;1105;517,0148148;1383,296296;N/a;
8.0;85.0;S;413;1102;517,0148148;1379,540741;N/a;
10.0;90.0;R;416;1032;520,7703704;1291,911111;N/a;
13.0;100.0;R;418;1123;523,2740741;1405,82963;N/a;
14.0;105.0;R;419;1123;524,5259259;1405,82963;N/a;
11.0;105.0;S;421;1251;527,0296296;1566,066667;N/a;
15.0;110.0;R;421;1134;527,0296296;1419,6;N/a;
9.0;85.0;R;423;988;529,5333333;1236,82963;N/a;
12.0;105.0;S;424;1275;530,7851852;1596,111111;N/a;
10.0;85.0;R;426;1017;533,2888889;1273,133333;N/a;
11.0;95.0;R;426;1095;533,2888889;1370,777778;N/a;
13.0;105.0;S;426;1297;533,2888889;1623,651852;N/a;
16.0;110.0;R;429;1082;537,0444444;1354,503704;N/a;
9.0;95.0;S;429;1173;537,0444444;1468,422222;N/a;
10.0;95.0;S;433;1202;542,0518519;1504,725926;N/a;
12.0;95.0;R;433;1118;542,0518519;1399,57037;N/a;
